word,part_of_speech,chinese,occurs,shots
relay,0,接力传送;传递,0,0
release,0,排放;释出,0,0
relevant,0,有关的;切题的,1,0
relieve,0,缓解;减轻;解除,0,0
remark,0,评论;议论,0,0
remedy,0,治疗;治疗法;药品,0,0
remember,0,记得;回想起;不忘记,0,0
remind,0,提醒;使想起,0,0
remove,0,移开;挪走,0,0
render,0,使得;使成为,0,0
renew,0,更新;恢复;更换,0,0
renovate,0,修复;整修,0,0
repel,0,击退;抵制;拒绝;排斥,0,0
repent,0,后悔;懊悔,0,0
replace,0,代替;取代;更换,0,0
represent,0,代表;象征,0,0
reproach,0,责备;指责;斥责,0,0
rescue,0,营救;救援;搭救,0,0
resent,0,怨恨,0,0
reserve,0,保留;储备,0,0
resign,0,辞职;引退,0,0
resolve,0,决定;打定注意要,0,0
resort,0,求助;凭借;诉诸,0,0
restore,0,恢复;修复;康复,0,0
restrain,0,抑制;遏止,0,0
resume,0,重新开始;继续,0,0
retain,0,保留;保持,0,0
reveal,0,揭示;揭露,0,0
revenge,0,报仇;复仇,0,0
reverse,0,相反的;颠倒的;倒退的,1,1
revise,0,修订;校订,0,0
revive,0,苏醒;复苏,1,0
ridiculous,0,可笑的;荒唐的;荒谬的,0,0
rigid,0,刚性的;坚硬的,0,0
ripe,0,成熟的;时机成熟的,0,0
roll,0,滚动;滚落,0,0
rot,0,腐烂;腐坏;腐朽;腐败;腐化,0,0
roundabout,0,绕道的;绕圈子的;不直接的,0,0
rouse,0,惊起,1,0
row,0,吵闹;争吵,0,0
rub,0,擦;摩擦,0,0
rush,0,冲;奔,0,0
rust,0,锈;铁锈,0,0
ruthless,0,无情的;残忍的;冷酷的,0,0
sack,0,麻袋;纸袋;塑料袋,0,0
sacred,0,神圣的,0,0
sacrifice,0,献祭;供奉,0,0
salute,0,敬礼;祝贺,0,0
scan,0,细看;审视,0,0
scare,0,惊吓;恐惧,0,0
scatter,0,撒;撒播,0,0
schedule,0,时间表;进度表,0,0
scheme,0,计划;方案,0,0
scold,0,责骂;训斥,0,0
score,0,得分;比分;分数;成绩,0,0
scorn,0,轻蔑;鄙视,0,0
scrap,0,碎片;零屑,0,0
scrape,0,刮;擦,1,0
scratch,0,抓;刮;擦,0,0
screen,0,屏;幕;帘,0,0
secure,0,安全的;可靠的;有把握的,0,0
seek,0,寻找;探索,0,0
seize,0,抓住;捉住,0,0
sense,0,感官;官能,0,0
sensible,0,明知的;合情理的,0,0
serve,0,服务;履行职责,0,0
set,0,放置,0,0
shade,0,荫;荫凉处,1,0
sham,0,假装;虚伪,0,0
shame,0,羞耻;羞愧,0,0
shape,0,形状;外形,0,0
share,0,一分;分额;一部分,0,0
shear,0,剪;修剪,0,0
shed,0,流,0,0
sheer,0,完全的;十足的,0,0
shelter,0,掩蔽处;躲避处,0,0
shield,0,盾;保护物;防御物,0,0
shift,0,转移;移动,2,2
shower,0,阵雨;阵雨般的东西,0,0
shrewd,0,机灵的;敏锐的;精明的,0,0
signify,0,表示;表明;预示,0,0
simulate,0,假装;冒充,0,0
sit,0,坐;就坐,0,0
sketch,0,素描;速写,0,0
slack,0,不紧的;不严的,1,0
slender,0,苗条的;修长的;细长的,0,0
slide,0,滑行;滑动;滑落,0,0
slim,0,苗条的;薄的,0,0
slip,0,滑倒;滑落;滑行,0,0
slit,0,切开;撕开,0,0
slope,0,倾斜;有坡度,0,0
sly,0,狡猾的;偷偷的,0,0
smart,0,聪明的;精明的,0,0
smash,0,打碎;打破;摧毁,0,0
smooth,0,平滑的;光滑的,0,0
snatch,0,夺得;一把抓住,0,0
snob,0,势力的人;谄上欺下的人,0,0
soak,0,湿透;浸湿;浸泡,0,0
sober,0,未醉的,0,0
soil,0,泥土;土壤,1,1
sophisticated,0,老于世故的,0,0
sore,0,痛的;痛苦的;痛心的,0,0
sort,0,种类;类别,0,0
sound,0,健康的;健全的;完好的,0,0
sour,0,酸的;酸味的,0,0
sow,0,播种,0,0
spare,0,多余的;剩下的,0,0
spark,0,火花;火星,0,0
sparkle,0,发光;闪耀,0,0
specify,0,具体指定;详细说明,0,0
spectacle,0,景象;奇观;壮观;场面,0,0
speculate,0,推测;推断,0,0
spill,0,溢出;溅出,0,0
spin,0,纺制,0,0
spit,0,吐出,0,0
splash,0,溅泼,0,0
split,0,劈开;切开;裂开,0,0
spoil,0,损坏;毁掉,0,0
sponsor,0,发起者;主办者;保证人;赞助者,0,0
spot,0,斑点;污点,0,0
spray,0,浪花;水花,0,0
sprout,0,抽条;发芽;长出,1,1
spur,0,靴刺;踢马刺,0,0
squeeze,0,榨;挤,0,0
stab,0,刺;戳;猛的一击;突发的一阵,0,0
stack,0,整齐的一叠,0,0
staff,0,全体职员;全体雇员,0,0
stain,0,玷污;污染,0,0
stale,0,食品等不新鲜的;走味的,0,0
stall,0,牛舍,0,0
stamp,0,邮票,0,0
start,0,开始;动手,1,1
startle,0,惊吓;使吃惊,0,0
starve,0,使挨饿;饿死,0,0
station,0,车站,0,0
stationary,0,固定的;静止的;非流动的,0,0
statistics,0,统计;统计资料,1,1
steer,0,掌舵;驾驶,0,0
stern,0,严厉的;苛刻的,0,0
stick,0,棍;棒;手杖,0,0
stimulate,0,刺激;促使,0,0
sting,0,刺;螫;叮,0,0
stir,0,使微动;移动,0,0
stitch,0,一针;针脚,0,0
stock,0,原料;备料;库存;现货,0,0
stoop,0,俯身;弯腰,0,0
storm,0,风暴;暴风雨;暴风雪,0,0
straightforward,0,一直向前的;直接的,0,0
strain,0,拉紧;绷紧,0,0
strap,0,带;皮带,0,0
stream,0,小河;溪流,0,0
strength,0,力量;力气;活力;效力,0,0
stress,0,压力;紧张,0,0
stretch,0,伸直;伸长,0,0
stride,0,阔步前进;大踏步走,0,0
strike,0,打击;撞,0,0
string,0,细绳;线;带,0,0
strip,0,剥去;除去,0,0
strive,0,努力;奋力;力求,0,0
stroke,0,敲;打;鸣,0,0
stubborn,0,顽固的;倔强的,0,0
stuff,0,原料;材料;物品;东西,0,0
subject,0,题目;主题,0,0
submerge,0,浸没;淹没;湮没,0,0
submit,0,屈服;服从;投降,0,0
subordinate,0,下级的,0,0
substance,0,物质;实质,0,0
substitute,0,代替者;代替物,0,0
subtle,0,微妙的;巧妙的,0,0
subtract,0,减;减去,0,0
succession,0,连续;一系列,0,0
suck,0,吸;,0,0
sue,0,控告;起诉,0,0
summary,0,总结;概要,0,0
superb,0,极好的;一流的;杰出的,0,0
superficial,0,表面的,0,0
superfluous,0,过多的;剩余的;多余的,0,0
supervise,0,监督;管理;指导,0,0
supplement,0,增补;补充,0,0
suppress,0,压制;镇压,0,0
supreme,0,最高的;至上的,0,0
surpass,0,超过;优于;强于;胜过,1,0
surplus,0,过剩;剩余,0,0
survey,0,调查,0,0
survive,0,幸存;幸免于,0,0
suspect,0,怀疑,0,0
sustain,0,支撑;承受,0,0
swallow,0,吞;咽,0,0
swarm,0,蜂群,0,0
sway,0,摇摆,0,0
swear,0,宣誓;发誓,0,0
swell,0,膨胀;鼓起,0,0
swing,0,摇摆;摇荡,0,0
sympathy,0,同情心;慰问,0,0
synchronize,0,使同步;使结合;使协调,0,0
taboo,0,禁忌;忌讳,0,0
tackle,0,用具;装备,0,0
tailor,0,裁缝,0,0
talk,0,讲话;谈话,0,0
tame,0,驯化的;驯服的;温顺的,0,0
tan,0,棕黄色;黄褐色,0,0
tax,0,税（款）,0,0
tear,0,撕开;撕裂,0,0
tease,0,戏弄;取笑,0,0
tedious,0,单调乏味的;冗长的;罗嗦的,0,0
temper,0,心情;脾气,0,0
tempt,0,引诱;诱惑,0,0
tend,0,趋向;倾向,0,0
tender,0,嫩的,0,0
tentative,0,试验性的;试探性的;暂时的;推测的,0,0
term,0,学期,0,0
terminate,0,停止;结束;使终止,0,0
terrify,0,使害怕;使惊吓,0,0
testify,0,作证;证明,1,0
thermal,0,热的;由热造成的,0,0
thirst,0,渴;口渴,0,0
thread,0,线;线状物,0,0
thrill,0,使非常兴奋;使非常激动,0,0
thrive,0,兴旺发达;繁荣,0,0
thrust,0,推;刺;戳;插;挤,0,0
tick,0,（钟声等发出的）滴答声,0,0
tidy,0,整洁的;整齐的,0,0
tilt,0,使倾斜;使倾倒,0,0
time,0,时间;时刻;时候,0,0
tip,0,末端;尖端,0,0
toast,0,烤面包;吐司,0,0
token,0,表示;标志;象征,0,0
torture,0,拷打;拷问,0,0
toss,0,扔;抛;掷,0,0
tough,0,坚韧的;牢固的,0,0
tow,0,拖;拉;牵引,0,0
tower,0,塔;塔楼;高楼,0,0
trace,0,痕迹;踪迹,0,0
track,0,足迹;踪迹,0,0
tragedy,0,悲剧,0,0
trail,0,痕迹;足迹,0,0
tramp,0,步行;跋涉,0,0
transfer,0,转移;调动,0,0
transform,0,变形;改观,0,0
transient,0,短暂的;转瞬即逝的,0,0
transmit,0,播送;发射,0,0
transparent,0,透明的,0,0
transplant,0,移植;移种;移居,0,0
treasure,0,财宝;财富,0,0
trend,0,倾向;趋势,0,0
trick,0,诡计;骗局,0,0
trifle,0,琐事;小事,0,0
trim,0,整齐的;整洁的,0,0
trip,0,旅行;旅游,0,0
triple,0,三倍的;三重的;三部分的;三方的,0,0
triumph,0,胜利,0,0
trivial,0,琐碎的;不重要的;无价值的,1,0
tuck,0,夹入;藏入,0,0
tug,0,（用力）拖或拉,1,0
tumble,0,跌到;滚下,1,0
tune,0,曲调;曲子,0,0
turbulent,0,SL的;动荡的;混乱的;狂暴的,0,0
turn,0,转动;旋转,0,0
tutor,0,家庭教师;指导教师,0,0
twinkle,0,闪烁;闪耀;闪亮,0,0
twist,0,捻;搓;绞;拧,0,0
ultimate,0,最后的;最终的,0,0
unanimous,0,全体一致的;一致同意的,0,0
uncover,0,揭开;揭露,0,0
underestimate,0,低估,0,0
undergo,0,经历;遭受;忍受,0,0
underline,0,在……下划线;强调,0,0
underlie,0,位于……之下,0,0
undermine,0,在……下挖,0,0
undertake,0,着手做;,0,0
undesirable,0,不合意的;不受欢迎的,0,0
uneasy,0,心神不宁的;不安宁的,1,1
unfold,0,展开;打开,0,0
uniform,0,不变的;相同的;均匀;统一的,0,0
unify,0,使成一体;统一,0,0
update,0,更新;使现代化,0,0
upgrade,0,提高;使升级;改善,0,0
uphold,0,举起;高举,0,0
upright,0,挺直的;垂直的,0,0
uproar,0,SL;骚动,0,0
upset,0,弄翻;打翻,0,0
up-to-date,0,时新的;新式的;现代化的,0,0
urge,0,推进;鼓励,0,0
urgent,0,紧迫的;紧要的,1,0
utilize,0,利用,0,0
utter,0,发出（声音等）;说;吐露,0,0
vacant,0,未被占用的,0,0
vague,0,含糊的;不明确的;模糊的,0,0
vain,0,徒劳的;无效的,1,0
valid,0,有根据的,0,0
value,0,价值,0,0
vanish,0,突然消失;逐渐消散,0,0
veil,0,面纱;面罩,0,0
ventilate,0,使通风;使空气流通,0,0
venture,0,冒险;冒险行动;投机行动,0,0
verge,0,边;边缘;边沿,0,0
verify,0,证明;证实,0,0
versatile,0,多才多艺的,0,0
versus,0,诉讼;竞赛等中以……为对手,0,0
vertical,0,垂直的;立式的,0,0
veto,0,否决;否决权;否决权的行使,0,0
vibrate,0,使震动;使摆动,0,0
vicious,0,邪恶的;恶毒的;凶残的,0,0
vigor,0,体力;精力;活力,0,0
violate,0,违反;违背,0,0
virtual,0,实际上的;事实上的,0,0
virtue,0,美德;德行,0,0
visible,0,看得见的;可见的,0,0
vision,0,视力;视觉,0,0
vital,0,有生命力的,0,0
vivid,0,鲜艳的,0,0
void,0,空的,0,0
volunteer,0,志愿者;自愿参加者,0,0
vote,0,投票;表决,0,0
wage,0,工资;报酬,0,0
wake,0,醒来;醒着;唤醒,1,1
waken,0,醒来;睡醒,0,0
wander,0,漫步;徘徊,0,0
ward,0,病房,1,0
warrant,0,授权;批准;正当理由;根据,0,0
waterproof,0,不透水的;防水的,0,0
way,0,方法;方式,0,0
wear,0,穿;戴,0,0
weary,0,疲倦的;疲劳的,0,0
weave,0,织;编;编制,0,0
wedge,0,楔子;三角木,0,0
weed,0,杂草;野草,0,0
weep,0,哭泣;流泪,1,1
weigh,0,称……重量;称,0,0
weld,0,焊接;煅接,0,0
whirl,0,旋转;急转,0,0
whisper,0,低语;耳语;轻声说,0,0
whistle,0,吹口哨;鸣笛,0,0
whitewash,0,粉饰,0,0
wholesome,0,有益于健康的,0,0
wicked,0,坏的;邪恶的;淘气的;恶作剧的,0,0
wind,0,绕;缠,0,0
wire,0,金属丝;金属线,0,0
withdraw,0,抽回;收回;提取,0,0
withhold,0,使停止;阻挡,0,0
withstand,0,经受;承受,0,0
witness,0,目击者;见证人,0,0
wonder,0,奇迹,0,0
worship,0,崇拜;崇敬,0,0
worth,0,值……钱,0,0
wrap,0,包;裹,0,0
wreck,0,失事;遇难,1,0
wrench,0,扳手,0,0
wrinkle,0,皱;皱纹,0,0
write,0,写;写字;写信;写作,0,0
Xerox,0,静电复印（法）;静电复印件;静电复印机,0,0
yield,0,生产;产生;带来,0,0
zeal,0,热心;热忱;热情,0,0
zigzag,0,之字形的;弯曲的,0,0
zone,0,地带;分布带,0,0
